date,category,category_label,value
2000-01-04,D0,D0 Abnormally dry,23.1
2000-01-11,D0,D0 Abnormally dry,30.8
2000-01-18,D0,D0 Abnormally dry,34.99
2000-01-25,D0,D0 Abnormally dry,36.58
2000-02-01,D0,D0 Abnormally dry,30.11
2000-02-08,D0,D0 Abnormally dry,28.85
2000-02-15,D0,D0 Abnormally dry,26.06
2000-02-22,D0,D0 Abnormally dry,21.67
2000-02-29,D0,D0 Abnormally dry,18.37
2000-03-07,D0,D0 Abnormally dry,18.3
2000-03-14,D0,D0 Abnormally dry,14.96
2000-03-21,D0,D0 Abnormally dry,15.25
2000-03-28,D0,D0 Abnormally dry,15.76
2000-04-04,D0,D0 Abnormally dry,19.15
2000-04-11,D0,D0 Abnormally dry,15.65
2000-04-18,D0,D0 Abnormally dry,17.01
2000-04-25,D0,D0 Abnormally dry,16.38
2000-05-02,D0,D0 Abnormally dry,15.81
2000-05-09,D0,D0 Abnormally dry,16.37
2000-05-16,D0,D0 Abnormally dry,15.98
2000-05-23,D0,D0 Abnormally dry,15.38
2000-05-30,D0,D0 Abnormally dry,11.53
2000-06-06,D0,D0 Abnormally dry,13.42
2000-06-13,D0,D0 Abnormally dry,17.27
2000-06-20,D0,D0 Abnormally dry,16.62
2000-06-27,D0,D0 Abnormally dry,18.93
2000-07-04,D0,D0 Abnormally dry,27.23
2000-07-11,D0,D0 Abnormally dry,26.58
2000-07-18,D0,D0 Abnormally dry,25.48
2000-07-25,D0,D0 Abnormally dry,23.95
2000-08-01,D0,D0 Abnormally dry,21.38
2000-08-08,D0,D0 Abnormally dry,22.28
2000-08-15,D0,D0 Abnormally dry,20.19
2000-08-22,D0,D0 Abnormally dry,17.56
2000-08-29,D0,D0 Abnormally dry,20.13
2000-09-05,D0,D0 Abnormally dry,18.88
2000-09-12,D0,D0 Abnormally dry,14.86
2000-09-19,D0,D0 Abnormally dry,15.54
2000-09-26,D0,D0 Abnormally dry,16.33
2000-10-03,D0,D0 Abnormally dry,16.33
2000-10-10,D0,D0 Abnormally dry,15.48
2000-10-17,D0,D0 Abnormally dry,15.79
2000-10-24,D0,D0 Abnormally dry,20.93
2000-10-31,D0,D0 Abnormally dry,20.97
2000-11-07,D0,D0 Abnormally dry,21.26
2000-11-14,D0,D0 Abnormally dry,15.08
2000-11-21,D0,D0 Abnormally dry,15.15
2000-11-28,D0,D0 Abnormally dry,16.2
2000-12-05,D0,D0 Abnormally dry,14.37
2000-12-12,D0,D0 Abnormally dry,13.53
2000-12-19,D0,D0 Abnormally dry,11.79
2000-12-26,D0,D0 Abnormally dry,11.22
2001-01-02,D0,D0 Abnormally dry,12.82
