year,series,series_label,value
1895,annual,Annual average,-0.120833333
1896,annual,Annual average,0.2225
1897,annual,Annual average,-0.4475
1898,annual,Annual average,0.100833333
1899,annual,Annual average,0.025833333
1900,annual,Annual average,-0.05
1901,annual,Annual average,-1.149166667
1902,annual,Annual average,-0.84
1903,annual,Annual average,1.703333333
1904,annual,Annual average,-0.030833333
1905,annual,Annual average,1.548333333
1906,annual,Annual average,3.598333333
1907,annual,Annual average,4.304166667
1908,annual,Annual average,3.3625
1909,annual,Annual average,1.813333333
1910,annual,Annual average,-2.480833333
1911,annual,Annual average,-2.404166667
1912,annual,Annual average,2.626666667
1913,annual,Annual average,0.485833333
1914,annual,Annual average,-0.275
1915,annual,Annual average,2.0975
1916,annual,Annual average,2.396666667
1917,annual,Annual average,-0.645
1918,annual,Annual average,-2.930833333
1919,annual,Annual average,1.765833333
1920,annual,Annual average,3.4625
1921,annual,Annual average,-0.548333333
1922,annual,Annual average,-0.473333333
1923,annual,Annual average,1.143333333
1924,annual,Annual average,-0.380833333
1925,annual,Annual average,-2.06
1926,annual,Annual average,0.418333333
1927,annual,Annual average,2.836666667
1928,annual,Annual average,2.780833333
1929,annual,Annual average,1.094166667
1930,annual,Annual average,-1.991666667
1931,annual,Annual average,-4.184166667
1932,annual,Annual average,0.075
1933,annual,Annual average,-1.041666667
1934,annual,Annual average,-6.69
1935,annual,Annual average,-3.119166667
1936,annual,Annual average,-3.538333333
1937,annual,Annual average,-2.320833333
1938,annual,Annual average,0.0725
1939,annual,Annual average,-2.885833333
1940,annual,Annual average,-4.25
1941,annual,Annual average,1.658333333
1942,annual,Annual average,3.1925
1943,annual,Annual average,0.890833333
1944,annual,Annual average,-0.148333333
1945,annual,Annual average,2.056666667
1946,annual,Annual average,2.37
1947,annual,Annual average,2.135
1948,annual,Annual average,0.815
1949,annual,Annual average,1.245
1950,annual,Annual average,1.328333333
1951,annual,Annual average,1.684166667
1952,annual,Annual average,-0.925833333
1953,annual,Annual average,-2.865833333
1954,annual,Annual average,-4.330833333
1955,annual,Annual average,-4.458333333
1956,annual,Annual average,-3.586666667
1957,annual,Annual average,0.9175
1958,annual,Annual average,2.7425
1959,annual,Annual average,-0.34
1960,annual,Annual average,0.011666667
1961,annual,Annual average,0.893333333
1962,annual,Annual average,0.013333333
1963,annual,Annual average,-2.934166667
1964,annual,Annual average,-1.065833333
1965,annual,Annual average,0.705833333
1966,annual,Annual average,-1.758333333
1967,annual,Annual average,0.436666667
1968,annual,Annual average,1.800833333
1969,annual,Annual average,2.4975
1970,annual,Annual average,0.740833333
1971,annual,Annual average,0.61
1972,annual,Annual average,1.975
1973,annual,Annual average,4.836666667
1974,annual,Annual average,3.473333333
1975,annual,Annual average,3.718333333
1976,annual,Annual average,-0.351666667
1977,annual,Annual average,-1.149166667
1978,annual,Annual average,0.916666667
1979,annual,Annual average,2.226666667
1980,annual,Annual average,-0.4
1981,annual,Annual average,-0.756666667
1982,annual,Annual average,3.365833333
1983,annual,Annual average,5.005833333
1984,annual,Annual average,3.949166667
1985,annual,Annual average,0.964166667
1986,annual,Annual average,2.136666667
1987,annual,Annual average,-0.5625
1988,annual,Annual average,-3.496666667
1989,annual,Annual average,-0.8475
1990,annual,Annual average,0.03
1991,annual,Annual average,1.154166667
1992,annual,Annual average,1.183333333
1993,annual,Annual average,4.370833333
1994,annual,Annual average,2.144166667
1995,annual,Annual average,2.795833333
1996,annual,Annual average,2.795833333
1997,annual,Annual average,4.301666667
1998,annual,Annual average,1.55
1999,annual,Annual average,-0.145
2000,annual,Annual average,-4.438333333
2001,annual,Annual average,-2.87
2002,annual,Annual average,-2.06
2003,annual,Annual average,0.583333333
2004,annual,Annual average,1.310833333
2005,annual,Annual average,0.093333333
2006,annual,Annual average,-2.205833333
2007,annual,Annual average,-1.644166667
2008,annual,Annual average,0.351666667
2009,annual,Annual average,1.251666667
2010,annual,Annual average,3.053333333
2011,annual,Annual average,-0.158333333
2012,annual,Annual average,-4.0025
2013,annual,Annual average,-0.226666667
2014,annual,Annual average,1.2325
2015,annual,Annual average,1.17
2016,annual,Annual average,-0.08
2017,annual,Annual average,-0.011666667
2018,annual,Annual average,-0.25
2019,annual,Annual average,4.713333333
2020,annual,Annual average,0.215
2021,annual,Annual average,-2.3275
2022,annual,Annual average,-3.005833333
2023,annual,Annual average,-2.284166667
1895,nine_year,9-yr average,-0.073958333
1896,nine_year,9-yr average,-0.069306641
1897,nine_year,9-yr average,-0.072324219
1898,nine_year,9-yr average,-0.089241536
