climate_division,division,state,value
ALL_RI,ALL,RI,1.765086422
ALLEGHENY PLATEAU_MD,ALLEGHENY PLATEAU,MD,1.237763132
APPALACHIAN MOUNTAIN_AL,APPALACHIAN MOUNTAIN,AL,1.447606623
APPALACHIAN MOUNTAIN_MD,APPALACHIAN MOUNTAIN,MD,1.095369649
ARKANSAS DRAINAGE BASIN_CO,ARKANSAS DRAINAGE BASIN,CO,-0.290065576
BELLE FOURCHE DRAINAGE_WY,BELLE FOURCHE DRAINAGE,WY,0.346384445
BIG HORN_WY,BIG HORN,WY,-0.043142864
BLACK HILLS_SD,BLACK HILLS,SD,0.58061005
BLUE GRASS_KY,BLUE GRASS,KY,1.825363033
BOOTHEEL_MO,BOOTHEEL,MO,1.493726977
CASCADE MOUNTAINS WEST_WA,CASCADE MOUNTAINS WEST,WA,0.401109815
CENTRAL BASIN_WA,CENTRAL BASIN,WA,0.015870868
CENTRAL COAST DRNG._CA,CENTRAL COAST DRNG.,CA,-0.708526034
CENTRAL COASTAL PLAIN_NC,CENTRAL COASTAL PLAIN,NC,0.840955586
CENTRAL EASTERN SHORE_MD,CENTRAL EASTERN SHORE,MD,0.902334455
CENTRAL HIGHLANDS_NM,CENTRAL HIGHLANDS,NM,-0.398669472
CENTRAL LAKES_NY,CENTRAL LAKES,NY,1.758940765
CENTRAL LOWER_MI,CENTRAL LOWER,MI,2.258869572
CENTRAL MOUNTAIN_VA,CENTRAL MOUNTAIN,VA,0.608708189
CENTRAL MOUNTAINS_ID,CENTRAL MOUNTAINS,ID,0.044831403
CENTRAL MOUNTAINS_PA,CENTRAL MOUNTAINS,PA,1.460996991
CENTRAL PIEDMONT_NC,CENTRAL PIEDMONT,NC,0.047824352
CENTRAL PLAINS_ID,CENTRAL PLAINS,ID,-0.450616481
CENTRAL VALLEY_NM,CENTRAL VALLEY,NM,-1.103221799
CENTRAL_AR,CENTRAL,AR,1.582056469
CENTRAL_CT,CENTRAL,CT,1.367545301
CENTRAL_GA,CENTRAL,GA,0.113631673
CENTRAL_IA,CENTRAL,IA,1.529982663
CENTRAL_IL,CENTRAL,IL,1.556358601
CENTRAL_IN,CENTRAL,IN,1.883301068
CENTRAL_KS,CENTRAL,KS,1.196884508
CENTRAL_KY,CENTRAL,KY,1.676602413
CENTRAL_LA,CENTRAL,LA,1.497723423
CENTRAL_MA,CENTRAL,MA,1.66936587
CENTRAL_MN,CENTRAL,MN,1.569346652
