year,value
1900,-0.149225487
1901,-0.082229933
1902,-0.353958356
1903,-0.07559599
1904,-0.127931922
1905,0.101396495
1906,0.288062855
1907,0.70044805
1908,0.664932916
1909,0.695586884
1910,0.384699288
1911,-0.101472715
1912,-0.125230616
1913,-0.192842691
1914,-0.264225104
1915,0.046369533
1916,0.618170867
1917,0.419170543
1918,-0.022898741
1919,0.059570274
1920,0.161423554
1921,-0.086170658
1922,-0.133184877
1923,0.145332076
1924,0.129744561
1925,-0.332137626
1926,-0.411711092
1927,-0.188683024
1928,-0.012660765
1929,0.023101044
1930,0.132085504
1931,-0.155660474
1932,-0.449592868
1933,-0.645216735
1934,-1.206155824
1935,-1.103648724
1936,-1.002840481
1937,-1.008093176
1938,-0.938463868
1939,-0.649341262
1940,-0.867586797
1941,-0.617071017
1942,-0.322580272
1943,-0.248998182
1944,-0.112049088
1945,0.269602964
1946,0.280128425
1947,0.205630997
1948,0.06836154
1949,0.12407574
1950,0.009194494
1951,0.076382416
1952,-0.034385229
1953,-0.105171079
1954,-0.396933048
1955,-0.614212743
1956,-0.855999248
1957,-0.926505577
1958,-0.713859807
1959,-0.543156181
1960,-0.235707719
1961,-0.108865538
1962,-0.028371118
1963,-0.306942831
1964,-0.350291506
1965,-0.333528778
1966,-0.279184466
1967,-0.346149905
1968,-0.176137537
1969,0.184630578
1970,0.121249449
1971,0.175294307
1972,0.241038362
1973,0.616751281
1974,0.511059776
1975,0.769265059
1976,0.762580698
1977,0.443032819
1978,0.314377014
1979,0.389226541
1980,0.160117663
1981,-0.050276241
1982,0.391626425
1983,0.557160424
1984,0.486460382
1985,0.371772398
1986,0.620474838
1987,0.511536361
1988,-0.151731495
1989,-0.359130468
1990,-0.340688826
1991,-0.340183809
1992,-0.458899787
1993,0.159212318
1994,0.267231454
1995,0.561660733
1996,0.535332168
1997,0.890627618
1998,0.755499014
1999,0.731429462
2000,0.250542361
2001,0.07247374
2002,-0.477921426
2003,-0.61301303
2004,-0.655525405
2005,-0.150096217
2006,-0.165313591
2007,0.072102007
2008,-0.008077936
2009,0.156751381
2010,0.129585101
2011,0.489866002
2012,0.207968554
2013,0.105272265
2014,0.124903434
2015,-0.021708895
2016,-0.085457398
2017,0.357364814
2018,0.416521401
2019,0.792558276
2020,0.702092226
2021,0.550127391
2022,0.303099287
2023,0.39782823
